Service name,Service type,Sub-type,Address line 1,Address line 2,Town,Postcode,Local authority,Phone,Email,Registered places,Operator (Provider),Operator's total sites,Company number,CIW approved services (provider),Responsible individual,Registered manager,Operating language,Provider registered,CIW service URN,Latitude,Longitude
Caemaen Residential Care Home,Care Home Service,Adults Without Nursing,Caemaen Care Home,Coleshill Terrace,Llanelli,SA15 3DE,Carmarthenshire,01554 771835,JESzubka@carmarthenshire.gov.uk,30,Carmarthenshire County Council Adults and Children's Services,10,,8,Heike Clarke,,,2018-09-20,SIN-00010036-DYRN,51.68293,-4.167023
Cartref Ael Y Bryn,Care Home Service,Adults Without Nursing,Cartref Ael Y Bryn,Penybanc Road,Ammanford,SA18 3HS,Carmarthenshire,01269593773,info@barleybind.co.uk,49,Barleybind Ltd,2,02594246,2,Vijayarany Yoganathan,,English,2018-08-31,SIN-00009138-SBMT,51.787262,-4.002836
Cefn Manor,Care Home Service,Adults Without Nursing,Cefn Manor,,Llanelli,SA15 4RT,Carmarthenshire,01269862146,marion@eraliving.co.uk,12,Era Living Solutions Limited,1,06831843,1,Edgar Thomas,,,2018-12-05,SIN-00008792-KSJH,51.721118,-4.180331
Clynsaer House,Care Home Service,Adults Without Nursing,Clynsaer House,"Cynghordy,","Llandovery,",SA20 0LP,Carmarthenshire,01550 750224,BarnabyCunningham@cygnethealth.co.uk,11,Cygnet Care Services Limited,2,02683377,2,Stephanie Coxon,,English,2025-05-29,SIN-00015470-PHDT,52.057744,-3.714684
Dan Y Graig,Care Home Service,Adults Without Nursing,Danygraig,,Kidwelly,SA17 4SW,Carmarthenshire,01554 891246,danygraig@swantoncare.com,8,SWANTON CARE & COMMUNITY LIMITED,24,05789785,23,Kate Townsley,,English,2025-02-04,SIN-00014807-FKGJ,51.757351,-4.260181
Dol Y Felin,Care Home Service,Adults Without Nursing,Dolyfelin Homes,Pentre Road St. Clears,Carmarthen,SA33 4LR,Carmarthenshire,01994 230039,jtgregory@carmarthenshire.gov.uk,33,Carmarthenshire County Council Adults and Children's Services,10,,5,Heike Clarke,,,2018-09-20,SIN-00010033-QYTY,51.820025,-4.493201
Erwhir Care Home,Care Home Service,Adults Without Nursing,Erwhir Residential Home,29-30,Carmarthen,SA31 1HL,Carmarthenshire,01267236504,manager.erwhir@gmail.com,15,Towy Haven Care Homes Ltd,2,04067635,2,Scott Morris,,,2018-08-01,SIN-00009018-FHVD,51.861987,-4.303999
Fronhaul,Care Home Service,Adults Without Nursing,Fronhaul,Station Road,Carmarthen,SA33 4BQ,Carmarthenshire,01994230986,celine@fronhaul.uk,16,Fronhaul and Brookfield Care Home Ltd,2,06282045,1,Dhanraj Boodeny,,,2018-09-24,SIN-00010140-WFJC,51.821413,-4.49306
Llandaff House Care Home,Care Home Service,Adults Without Nursing,6 Mwrwg Road,Llangennech,Llanelli,SA14 8UA,Carmarthenshire,01554821689,llandaffhousemanager@aol.com,21,Cathedral Care Limited,1,02600036,1,John Woolford,,,2018-11-16,SIN-00009093-CGLK,51.697079,-4.086357
Llanfair Grange,Care Home Service,Adults Without Nursing,Llanfair Hill,,Llandovery,SA20 0YF,Carmarthenshire,01550720495,pricemondl@aol.com,34,Parkmore Healthcare Ltd,1,05156076,1,Douglas Leach,,English,2019-04-26,SIN-00009280-VMLJ,52.000492,-3.79447
Llwynhendy Care Home,Care Home Service,Adults With Nursing,Llwynhendy Care Home,Ynys Las,Swansea,SA14 9BT,Carmarthenshire,01554556074,sheryl.davies@paddacare.com,78,PADDA CARE LTD,2,10589472,1,,,,2018-07-05,SIN-00015520-HVPQ,51.680375,-4.126223
Llys Fechan Care Home,Care Home Service,Adults Without Nursing,Cartref Llys Fechan,48 Carmarthen Road,Llanelli,SA14 6SU,Carmarthenshire,01269 845502,llysfechan123@gmail.com,18,Neuadd fach Limited,1,06056637,1,Catrin James,,English,2019-04-17,SIN-00009178-BHNN,51.798856,-4.090995
Llys Y Bryn,Care Home Service,Adults Without Nursing,Llys Y Bryn,Gelli Road,Llanelli,SA14 9AD,Carmarthenshire,01554 758132,LlysyBrynCareHome@carmarthenshire.gov.uk,45,Carmarthenshire County Council Adults and Children's Services,10,,13,Heike Clarke,,,2018-09-20,SIN-00010041-QTGX,51.685024,-4.117298
Maesllewellyn,Care Home Service,Adults Without Nursing,Maes Llewelyn Residential Home,Church Lane,Newcastle Emlyn,SA38 9AB,Carmarthenshire,01239711990,MaesllewelynCareHome@carmarthenshire.gov.uk,40,Carmarthenshire County Council Adults and Children's Services,10,,6,Heike Clarke,,,2018-09-20,SIN-00010034-BCYC,52.039151,-4.468239
Maesteilo Care Home,Care Home Service,Adults Without Nursing,Maesteilo Care Home,Capel Isaac,Llandeilo,SA19 7TG,Carmarthenshire,01558 668510,Maesteilo@swantoncare.com,18,SWANTON CARE & COMMUNITY LIMITED,24,05789785,20,Kate Townsley,,English,2025-02-04,SIN-00014804-RLWD,51.922545,-4.051755
Minstrels,Care Home Service,Adults Without Nursing,Minstrels,Backe Road,Carmarthen,SA33 4EU,Carmarthenshire,01994232985,admin@carninglitrust.org,5,CARNINGLI TRUST (THE),4,01953474,3,Kerry May,,English,2018-07-06,SIN-00008983-XGPY,51.81138,-4.525325
Pant Yr Odyn,Care Home Service,Adults Without Nursing,96 Llandeilo Road,Llandybie,Ammanford,SA18 3JD,Carmarthenshire,01269 851101,pantyrordyn@swantoncare.com,7,SWANTON CARE & COMMUNITY LIMITED,24,05789785,21,Kate Townsley,,English,2025-02-04,SIN-00014805-HKYM,51.827304,-4.009213
Pant-y-Cendy Hall,Care Home Service,Adults Without Nursing,Pantycendy Hall,,Carmarthen,SA33 5RN,Carmarthenshire,01267281738,admin@pant-y-cendy-hall.co.uk,3,Pant-y-Cendy Ltd,1,05035759,1,Penelope Hopkins,,English,2019-03-15,SIN-00009104-BHLB,51.882497,-4.401652
Panteg,Care Home Service,Adults Without Nursing,Panteg,,Carmarthen,SA33 4JR,Carmarthenshire,01994231019,admin@carninglitrust.org,5,CARNINGLI TRUST (THE),4,01953474,1,Kerry May,,English,2018-07-06,SIN-00008981-QBMB,51.830342,-4.507067
Stradey Park House,Care Home Service,Adults Without Nursing,61 New Road,,Llanelli,SA15 3DP,Carmarthenshire,01554755725,james@stradeyparkcarehomes.co.uk,8,STRADEY PARK CARE HOMES LTD,1,04993151,1,Thomas Williams,,English,2018-09-24,SIN-00009089-MGTB,51.685325,-4.166819
The Haven,Care Home Service,Adults Without Nursing,The Haven,2a,Llanelli,SA15 2RE,Carmarthenshire,01554777726,Thehaven.lester@btconnect.com,28,TL Care Homes Limited Liability Partnership,2,OC305900,2,Andrew Lester,,English,2018-08-02,SIN-00009802-SXRK,51.67604,-4.16707
The Rookery,Care Home Service,Adults Without Nursing,The Rookery,School Hill,Newcastle Emlyn,SA38 9LL,Carmarthenshire,01239711038,AMYD.OFFICE@GMAIL.COM,9,Bramble Bay Ltd,3,05778467,2,AMANDA HILL,,English,2018-08-10,SIN-00008869-KRWJ,52.036154,-4.471792
Tir Einon,Care Home Service,Adults Without Nursing,Llwynhendy,,Llanelli,SA14 9DF,Carmarthenshire,01554 742555,TirEinonRespiteHome@carmarthenshire.gov.uk,8,Carmarthenshire County Council Adults and Children's Services,10,,3,Carol Owen,,,2018-09-20,SIN-00010031-SWYV,51.676812,-4.120372
Ty Cwm,Care Home Service,Adults With Nursing,Ty Cwm,Lon Ty Cwm,Carmarthen,SA31 3GA,Carmarthenshire,01267228070,tycwm.manager@shaw.co.uk,20,Shaw healthcare (Cambria) Limited,20,06281153,19,Liam Scanlon,,,2019-04-01,SIN-00014760-BGYX,51.84987,-4.337882
Y Plas Residential Care Home,Care Home Service,Adults Without Nursing,Y Plas,,Llanelli,SA15 4LP,Carmarthenshire,01554751359,SRJones@carmarthenshire.gov.uk,30,Carmarthenshire County Council Adults and Children's Services,10,,9,Heike Clarke,,,2018-09-20,SIN-00010037-KHGB,51.699695,-4.146304
Brondesbury Lodge,Care Home Service,Adults With Nursing,Brondesbury Lodge,Heol Derw,Cardigan,SA43 1NH,Ceredigion,01239615427,bronlodge@yahoo.co.uk,32,Brondesbury Lodge Limited,1,04998326,1,Jagdip Guram,,English,2018-08-28,SIN-00009335-BXCR,52.091538,-4.647418
Cartref Care Home Ltd,Care Home Service,Adults Without Nursing,Cartref Care Home,Henllan,Llandysul,SA44 5TD,Ceredigion,01559371293,cartrefhome@outlook.com,36,CARTREF CARE HOME LTD,1,04732798,1,Gwyn Williams,,,2019-05-22,SIN-00010077-SSQK,52.038995,-4.396559
Cysgod Y Coed Ltd,Care Home Service,Adults Without Nursing,Cysgod Y Coed Residential Home,Llanilar,Aberystwyth,SY23 4NR,Ceredigion,01974241475,cysgodycoed1@yahoo.co.uk,15,Cysgod Y Coed Ltd,1,06536210,1,Nerys Richards,,,2018-07-17,SIN-00008915-CKJC,52.355927,-4.035468
Maes-y-felin Care Home LTD,Care Home Service,Adults Without Nursing,Maesyfelin Care Home,Drefach,Llanybydder,SA40 9YB,Ceredigion,01570480766,care@maesyfelin.co.uk,19,MAESYFELIN CARE HOME LTD,1,05490990,1,Lauren Samuel-Wrightson,,,2018-06-07,SIN-00008566-FFDG,52.090736,-4.190613
Pennal View Residential Care Home Ltd,Care Home Service,Adults Without Nursing,Pennal View Residential Home,Blaenpennal,Aberystwyth,SY23 4TR,Ceredigion,01974251279,contact@pennalview.co.uk,16,Pennal View Residential Care Home Ltd,1,09581601,1,Dylan Williams,,,2022-08-05,SIN-00013102-QWSH,52.262902,-4.015862
Plas Cwmcynfelin Ltd,Care Home Service,Adults With Nursing,Plas Cwmcynfelin,Clarach,Aberystwyth,SY23 3DN,Ceredigion,01970623783,plascwmcynfelin@lycos.com,53,Plas Cwmcynfelin Limited,1,05134027,1,Hannah Lennon,,,2018-11-14,SIN-00009154-HBCT,52.431333,-4.055122
Plas Gwyn Care Home,Care Home Service,Adults Without Nursing,Plas Gwyn,,Llanrhystud,SY23 5BY,Ceredigion,01974202206,plas_gwyn@outlook.com,16,Tilmala Healthcare Ltd,1,05294079,1,David Lewis,,English,2019-05-23,SIN-00009322-PCRH,52.292962,-4.161233
20 Francis Avenue,Care Home Service,Adults Without Nursing,20 Francis Avenue,Rhos On Sea,Colwyn Bay,LL28 4DW,Conwy,01492545370,manager20francis@randomlightuk.com,5,Coed Du Hall Ltd,8,02873799,3,Esther Jones,,English,2019-01-09,SIN-00011220-TVRN,53.302856,-3.74144
79 Brompton Avenue,Care Home Service,Adults Without Nursing,79 Brompton Avenue,Rhos On Sea,Colwyn Bay,LL28 4TP,Conwy,01492 540778,ryecroft@coeddu.com,3,Coed Du Hall Ltd,8,02873799,2,Esther Jones,,English,2019-01-09,SIN-00014860-TLHP,53.30597,-3.748005
Abbey Dale House,Care Home Service,Adults With Nursing,Abbey Dale House,61 Princes Drive,Colwyn Bay,LL29 8PW,Conwy,07595308249,embracecarehomesltd@gmail.com,29,ECH COLWYN BAY LIMITED,1,13735523,1,Littish Dominic,,English,2023-10-05,SIN-00013958-BSLD,53.29896,-3.735549
Aingarth Rest Home Ltd,Care Home Service,Adults Without Nursing,Ain Garth Private Residential Home,50 Brompton Avenue Rhos On Sea,Colwyn Bay,LL28 4TP,Conwy,01492540692,aingarth-manager@outlook.com,19,AINGARTH REST HOME LTD,1,08667052,1,Sharon Jack,,English,2019-01-07,SIN-00010136-LTPN,53.30597,-3.748005
Brigadoon Care Home,Care Home Service,Adults Without Nursing,Brigadoon Residential Home,24-26,Llandudno,LL30 2EZ,Conwy,01492877310,brigadooncarehome@gmail.com,11,Shaivaa Care Limited,1,13507949,1,Ranjeeta Dussoye-Sookha,,English,2022-07-11,SIN-00013132-XCCL,53.316824,-3.838614
Bryn Eithin Residential Care Ltd,Care Home Service,Adults Without Nursing,30 Llanrwst Road,,Colwyn Bay,LL29 7YU,Conwy,01492531162,manager@bryneithin.com,25,Bryn Eithin Residential Care Ltd,1,04597173,1,Mark Thomas,,,2018-11-22,SIN-00010194-FKSW,53.297854,-3.749099
Bryn Marl Nursing Home,Care Home Service,Adults With Nursing,Bryn Marl Nursing Home,Marl Drive,Llandudno Junction,LL31 9YX,Conwy,01492581191,kevin.jones@brynmarl.co.uk,39,Bryn Marl Ltd,1,05148789,1,PARTHEEPAN SHANMUGARAJAH,,English,2018-12-27,SIN-00009074-HRVX,53.287145,-3.80291
Cartref Bryn yr Eglwys,Care Home Service,Adults With Nursing,Pentrefoelas,,Betws-y-coed,LL24 0HY,Conwy,01690770384,nantyfoel2021@gmail.com,30,NANT-Y-FOEL CYFYNGEDIG,1,02205272,1,Meryl Welsby,,,2018-12-21,SIN-00009263-RQWF,53.049288,-3.682889
Conner's Place,Care Home Service,Adults Without Nursing,60 Church Road,Rhos On Sea,Colwyn Bay,LL28 4YS,Conwy,07920518739,david@connersplace.co.uk,2,Conner's Place Ltd.,2,11870206,2,Rachel Jones,,English,2021-01-04,SIN-00013832-TNTT,53.310214,-3.751631
Conner's Place Ltd.,Care Home Service,Adults Without Nursing,Oakdene Residential Home,47 Mostyn Avenue,Llandudno,LL30 1YY,Conwy,01492460561,djkenwo@gmail.com,6,Conner's Place Ltd.,2,11870206,1,Rachel Jones,,English,2021-01-04,SIN-00011923-BHXH,53.320568,-3.809558
Eithinog Nursing Home,Care Home Service,Adults With Nursing,Eithiniog Leonard Cheshire Home,Old Highway,Colwyn Bay,LL28 5YA,Conwy,07795117535,nia.golding14@gmail.com,42,Grosvenor Care Ltd,1,16182983,1,Nia Golding,,,2025-09-26,SIN-00015540-MNKW,53.292174,-3.748327
Glascoed Ltd,Care Home Service,Adults Without Nursing,149 Conway Road,,Colwyn Bay,LL29 7NA,Conwy,01492533737,,10,Glascoed Residential Care Home Limited,1,08548069,1,Paul Bowe,,English,2019-05-23,SIN-00011038-TJKW,53.299361,-3.744989
High Pastures Nursing Home,Care Home Service,Adults With Nursing,High Pastures Nursing Home,Pentywyn Road Deganwy,Conwy,LL31 9YT,Conwy,01492581402,sarah.zahid@highpastures.co.uk,44,High Pastures Nursing Home limited,1,03518795,1,Sarah Zahid,,English,2018-12-17,SIN-00009967-RMRC,53.295781,-3.817363
Llannerch Grange,Care Home Service,Adults Without Nursing,17 Llannerch Road East,Rhos On Sea,Colwyn Bay,LL28 4DF,Conwy,01492540744,17llannerch@coeddu.com,5,Coed Du Hall Ltd,8,02873799,1,Esther Jones,,English,2019-01-09,SIN-00012551-FTRM,53.301482,-3.738863
Llys Elian,Care Home Service,Adults Without Nursing,Llys Elian,Groes Road,Colwyn Bay,LL29 8RA,Conwy,01492577773,meinir.roberts@conwy.gov.uk,27,Conwy County Borough Council Adults and Children's Services,3,,6,Annette Dean,,,2018-11-29,SIN-00010022-HTNL,53.286163,-3.715303
Marine Court Psychiatric Unit Limited,Care Home Service,Adults With Nursing,4 Marine Road,,Colwyn Bay,LL29 8PH,Conwy,01492534528,Marinecourt21@gmail.com,23,MARINE COURT PSYCHIATRIC UNIT LIMITED,1,04107772,1,,,English,2018-06-21,SIN-00008738-CXSM,53.297976,-3.732733
Merton Place,Care Home Service,Adults With Nursing,Merton Place Nursing Home,8 Pwllycrochan Avenue,Colwyn Bay,LL29 7BU,Conwy,01492 523375,Merton.Place@fairways.org.uk,54,Fairways Care Ltd,6,03538836,3,Paul Nicholls,,,2018-12-27,SIN-00015821-RWTP,53.296346,-3.734167
Moorcroft Residential Care Home,Care Home Service,Adults Without Nursing,Moorcroft Residential Home,Fferm Bach Road,Llandudno,LL30 1UA,Conwy,01492 877050,moorcroftcare@gmail.com,24,Moorcroft Residential Care Home Limited,1,14432245,1,Marcus Wilkes,,English,2023-03-01,SIN-00013536-LDKG,53.315588,-3.809542
New Cranford EMI Care Home,Care Home Service,Adults Without Nursing,The New Cranford,13 Carmen Sylva Road,Llandudno,LL30 1LZ,Conwy,01492877828,newcranford@outlook.com,22,TC60 LIMITED,1,04580630,1,Amanda Weston,,English,2018-08-22,SIN-00009001-BCCY,53.321793,-3.808213
Orme View Dementia Care,Care Home Service,Adults Without Nursing,Abbey Nursing Home,81 Abbey Road,Llandudno,LL30 2EH,Conwy,01492875993,manager@oremview.co.uk,16,Orme View Care Home Limited,2,12334274,1,Steffan Robbins,,,2020-05-20,SIN-00015405-XLVM,53.32287,-3.84009
Plas Isaf Care Home,Care Home Service,Adults Without Nursing,30-32 Llannerch Road West,Rhos On Sea,Colwyn Bay,LL28 4AS,Conwy,01492556777,manager.plasisaf@rosewoodhealthcaregroup.co.uk,32,Elmtree Healthcare Limited,2,08889148,2,James Bradford,,,2018-11-14,SIN-00009753-DFCS,53.300609,-3.746961
Plas Y Bryn,Care Home Service,Adults With Nursing,Plas Y Bryn Nursing Home,31 Tan Y Bryn Road,Colwyn Bay,LL28 4AD,Conwy,01492544117,james.bradford@rosewoodhealthcaregroup.co.uk,18,Elmtree Healthcare Limited,2,08889148,1,James Bradford,,,2018-11-14,SIN-00009752-DXPG,53.30256,-3.750027
Rhoslan Care Home,Care Home Service,Adults Without Nursing,Rhoslan Residential Care Home,52-56,Colwyn Bay,LL28 4HA,Conwy,01492548159,james.bradford@rosewoodhealthcaregroup.co.uk,34,Oaktree Healthcare Limited,1,08051171,1,James Bradford,,,2019-02-21,SIN-00009436-NPLJ,53.306475,-3.741121
Southern House Nursing Home,Care Home Service,Adults With Nursing,Southern House Nursing Home,18 Water Street,Abergele,LL22 7SH,Conwy,01745833600,manager@southernhouse.co.uk,35,Chestnut House Healthcare Limited,2,07590634,2,Moira Jones,,English,2019-02-13,SIN-00009130-PQDD,53.284899,-3.581802
Tan y Bryn Care Home,Care Home Service,Adults Without Nursing,Tan Y Bryn Residential Home,20 Tan Y Bryn Road,Llandudno,LL30 1UU,Conwy,01492875162,tyb.1@talktalk.net,26,Eterna Care Ltd,1,10686067,1,Bhusan Ramnath,,English,2018-10-08,SIN-00009270-HMTK,53.317593,-3.804778
Treflys Care Home,Care Home Service,Adults With Nursing,Treflys Nursing Home,Gloddaeth Avenue,Llandudno,LL30 2DN,Conwy,01492877893,treflyscarehome@aol.com,29,Bhusan Ramnath,2,,2,Bhusan Ramnath,,English,,SIN-00009447-GTRT,53.323015,-3.83828
Walls Residential Care Home Ltd,Care Home Service,Adults Without Nursing,Walls Residential Care Home Ltd,30 Vaughan Street,Llandudno,LL30 1AB,Conwy,01492876309,wallscarehome@gmail.com,10,Walls Residential Care Home Ltd,1,07813519,1,Deborah Walls,,English,2019-05-09,SIN-00010220-DTGC,53.321033,-3.825658
Wimsly Care Home,Care Home Service,Adults Without Nursing,9 St. Davids Road,,Llandudno,LL30 2UL,Conwy,01492877761,wimslycarehome@hotmail.co.uk,19,Bhusan Ramnath,2,,1,Bhusan Ramnath,,English,,SIN-00008980-GMKV,53.321262,-3.83355
Woodcroft Care Home Ltd,Care Home Service,Adults Without Nursing,Woodcroft Care Home,216 Abergele Road Old Colwyn,Colwyn Bay,LL29 8AS,Conwy,01492515763,woodcroftcare@aol.com,22,WOODCROFT CARE HOME LTD,1,04734407,1,Andrew Snook,,English,2018-08-31,SIN-00009210-KYCX,53.2893,-3.709098
Abbey Dingle Care Home,Care Home Service,Adults Without Nursing,Abbey Dingle Care Home,Abbey Road,Llangollen,LL20 8DT,Denbighshire,01978860432,carol202@btinternet.com,18,Abbey Dingle Nursing Homes Ltd,1,02188242,1,Carol Mascarenhas,,English,2020-02-28,SIN-00009740-JKVC,52.986751,-3.18706
Beach Court Care Home,Care Home Service,Adults Without Nursing,Beach Court Care Home,35-39,Prestatyn,LL19 7LL,Denbighshire,01745854198,beachcourtcare@gmail.com,32,Rebba Care Ltd,1,05845380,1,Elin Reeve,,English,2018-07-11,SIN-00009073-JXKS,53.341072,-3.415439
Belmont House,Care Home Service,Adults Without Nursing,65 Russell Road,,Rhyl,LL18 3DH,Denbighshire,07788636062,belmonthouse@aracare.co.uk,12,ARA CARE BELMONT HOUSE LTD,1,13677695,1,Ashok Ramchandran,,English,2023-12-12,SIN-00014272-JLBX,53.32324,-3.486091
Blenheim,Care Home Service,Adults Without Nursing,9 River Street,,Rhyl,LL18 1PY,Denbighshire,01745351159,paul.wilkinson@alliancecare.org.uk,6,Alliance Care and Support Limited,2,04679682,1,Paul Wilkinson,,English,2019-06-03,SIN-00010069-JGVW,53.317715,-3.49806
Bron Haul Care Home,Care Home Service,Adults Without Nursing,Bron Haul Residential Home,41-43,Rhyl,LL18 3HL,Denbighshire,01745 353730,skycarewalesltd@gmail.com,37,Sky Care North Wales ltd,1,13951603,1,Aleem Choudhry,,English,2022-08-26,SIN-00013086-FRPV,53.322108,-3.483905
Bron y Nant,Care Home Service,Adults Without Nursing,Bron Y Nant,Dinerth Road,Colwyn Bay,LL28 4YL,Denbighshire,01492 576671,disabilityrespite@conwy.gov.uk,8,Conwy County Borough Council Adults and Children's Services,3,,1,Annette Dean,,English,2018-11-29,SIN-00013815-XYHS,53.298391,-3.757795
Bryn Estyn,Care Home Service,Adults Without Nursing,Bryn Estyn Residential Home,85 Russell Road,Rhyl,LL18 3DS,Denbighshire,01745353772,brynestyn85@mail.com,24,Moore & Moore Care Ltd,2,12358848,2,Bruce Moore,,English,2020-11-25,SIN-00013196-MKKR,53.324231,-3.483033
Dyserth Care,Care Home Service,Adults Without Nursing,The Old Manor,Waterfall Road Dyserth,Rhyl,LL18 6DB,Denbighshire,01745570286,dyserthcare@outlook.com,26,Mair  Goddard,1,,1,Mair Goddard,,English,,SIN-00011081-MYKQ,53.304989,-3.419108
Grange Residential Care Limited,Care Home Service,Adults Without Nursing,The Grange,The Roe,St. Asaph,LL17 0LU,Denbighshire,01745585633,paddy@grangeresidentialcare.co.uk,12,Grange Residential Care Limited,1,03294494,1,Patrick Taylor,,English,2018-07-11,SIN-00008751-VLSD,53.258178,-3.449894
Hafod Y Green,Care Home Service,Adults With Nursing,Hafod Y Green Nursing Home,Trefnant,Denbigh,LL16 4UN,Denbighshire,01745730555,hafodmanager@select-group.co.uk,34,Hafod Y Green Care Limited,1,04903407,1,Brett Bernard,,English,2024-08-28,SIN-00014862-KKBF,53.22688,-3.418905
Hillside View,Care Home Service,Adults Without Nursing,Hillside View,Highfield Park,Denbigh,LL16 4LU,Denbighshire,01824572035,Hello@mhc-uk.com,2,Mental Health Care  (Highfield Park) Limited,13,02717850,2,Shaun Jones,,English,2018-12-19,SIN-00014882-JRLP,53.184661,-3.318289
Llys Meddyg,Care Home Service,Adults With Nursing,Llys Meddyg,4 Station Road,Denbigh,LL16 3DA,Denbighshire,01745813944,ffion@llysteg.co.uk,18,John Roberts,3,,3,John Roberts,,,,SIN-00009494-MGVK,53.186896,-3.413424
Llys Nant,Care Home Service,Adults Without Nursing,Llys Nant,27 Park Street,Denbigh,LL16 3DE,Denbighshire,07467956000,ffion@llysteg.co.uk,6,John Roberts,3,,1,John Roberts,,English,,SIN-00009492-RPXD,53.185732,-3.412233
Maes Teg,Care Home Service,Adults Without Nursing,Maesteg,Park Street,Denbigh,LL16 3DE,Denbighshire,07467956000,ffion@llysteg.co.uk,5,John Roberts,3,,2,John Roberts,,,,SIN-00009493-BKPB,53.185732,-3.412233
Norcot,Care Home Service,Adults Without Nursing,17 Palace Avenue,,Rhyl,LL18 1HS,Denbighshire,01745 354209,paul.wilkinson@alliancecare.org.uk,8,Alliance Care and Support Limited,2,04679682,2,Paul Wilkinson,,English,2019-06-03,SIN-00010070-CDQV,53.316809,-3.500009
Options Llys-y-Delyn,Care Home Service,Adults Without Nursing,Llys Y Delyn,,St. Asaph,LL17 0AL,Denbighshire,01745562570,matthew.thomas@achievetogether.co.uk,4,OA2 ADULTS LIMITED,5,04228353,1,rachael Hawkins,,English,2024-09-13,SIN-00014985-JHWJ,53.269665,-3.409585
Plas Eleri Nursing Home Denbigh Care Group Ltd,Care Home Service,Adults With Nursing,Plas Eleri Care Home,Rhyl Road,Denbigh,LL16 5SU,Denbighshire,01745814613,manager@plaseleri.co.uk,34,Denbigh Care Group Limited,1,11724607,1,Jeanette Willis,,,2023-09-06,SIN-00014141-LLHJ,53.191628,-3.409329
Plas Gwyn Nursing Home,Care Home Service,Adults With Nursing,Llanychan,,Ruthin,LL15 1TY,Denbighshire,01824702776,plasgwynnursinghome@gmail.com,30,Amrit Pelladoah,1,,1,Amrit Pelladoah,,,,SIN-00009716-GDJJ,53.140714,-3.309018
Safe hands Respite Hotel,Care Home Service,Adults Without Nursing,The Old Rectory,Henllan Road,Denbigh,LL16 5UF,Denbighshire,07444716876,newcombeellen2@gmail.com,4,Ellen Newcombe,1,,1,Ellen Newcombe,,,,SIN-00015722-KBHX,53.224036,-3.42293
Sandford,Care Home Service,Adults Without Nursing,50 Gronant Road,,Prestatyn,LL19 9ND,Denbighshire,01745855193,sandford@pearlcare.co.uk,40,Pearlcare(Sandford)Ltd,1,06308806,1,Daniel Markovic,,,2019-05-02,SIN-00010649-YNWP,53.335393,-3.394556
St Chamond's,Care Home Service,Adults With Nursing,St. Chamonds Care Home,Hillside,Prestatyn,LL19 9PW,Denbighshire,01745854130,admin@stchamonds.co.uk,20,St Chamond's,1,,1,Cineto Mascarenhas,,English,2019-02-15,SIN-00009741-GTYC,53.328282,-3.393813
The Headlands Nursing Home,Care Home Service,Adults With Nursing,The Headlands Nursing Home,Tower Road,Llangollen,LL20 8TE,Denbighshire,01978861592,rl@carehomegroup.uk,28,Deevale Healthcare Limited,1,06101452,1,Nadarajah Pragashparan,,,2019-05-24,SIN-00009156-LQHB,52.977227,-3.17752
The Nash Residential Home,Care Home Service,Adults Without Nursing,The Nash Residential Home,10-12,Rhyl,LL18 3NB,Denbighshire,01745351598,RL@carehomegroup.uk,31,NASH CORPORATE SERVICES LIMITED,1,06570812,1,Nadarajah Pragashparan,,,2019-05-10,SIN-00009075-FDGR,53.323748,-3.482866
The Old Deanery,Care Home Service,Adults Without Nursing,The Olde Deanery Rest Home,Deans Walk,St. Asaph,LL17 0NE,Denbighshire,01745584109,theolddeanery@aol.com,23,the old deanery ltd,1,04589022,1,Barry Mahon,,English,2018-08-17,SIN-00008989-NWJH,53.256133,-3.450229
Trosnant Residential Home,Care Home Service,Adults Without Nursing,Park Road,,Ruthin,LL15 1NB,Denbighshire,01824719247,admin@trosnantcarehome.co.uk,12,Anna Jones,1,,1,Anna Jones,,,,SIN-00008860-TDPC,53.114543,-3.314902
Vale View Residential Care Home,Care Home Service,Adults Without Nursing,Vale View Nursing Home,55 Vale Street,Denbigh,LL16 3AP,Denbighshire,01745812044,valeviewltd@gmail.com,10,Vale View Ltd,1,09040507,1,Suresh Mahadeo,,English,2019-04-15,SIN-00010662-NMQQ,53.185028,-3.416296
Allerton Lodge,Care Home Service,Adults Without Nursing,Allerton Cottage,Naid Y March,Holywell,CH8 8LG,Flintshire,01352710635,Rl@carehomegroup.uk,19,Deen Care Limited,1,04815808,1,Nadarajah Pragashparan,,,2019-05-10,SIN-00009068-WQQG,53.267571,-3.249122
Bistre Nursing Home,Care Home Service,Adults With Nursing,Bistre Nursing Home,Mold Road,Buckley,CH7 2NH,Flintshire,01244550644,manager@bistrecarehome.co.uk,32,Bistre Care Homes Limited,1,03152571,1,Moira Jones,,English,2019-04-12,SIN-00009056-CRRD,53.168058,-3.089707
Bryn Yr Haul,Care Home Service,Adults With Nursing,Bryn Yr Haul,Rhydygaled,Mold,CH7 6QG,Flintshire,01352755531,brynyrhaul@rosewoodhealthcaregroup.co.uk,36,Willowtree Healthcare limited,2,09630183,2,James Bradford,,English,2019-02-15,SIN-00009185-NYYR,53.176316,-3.133441
