Service name,Service type,Sub-type,Address line 1,Address line 2,Town,Postcode,Local authority,Phone,Email,Registered places,Operator (Provider),Operator's total sites,Company number,CIW approved services (provider),Responsible individual,Registered manager,Operating language,Provider registered,CIW service URN,Latitude,Longitude
Bryn y Wawr,Care Home Service,Adults Without Nursing,6 New Road,,Llandeilo,SA19 6DB,Carmarthenshire,01558822763,BarnabyCunningham@cygnethealth.co.uk,10,Cygnet Care Services Limited,2,02683377,1,Stephanie Coxon,,English,2025-05-29,SIN-00015469-LKQN,51.88455,-3.992279
Brynhelyg Care Home,Care Home Service,Adults Without Nursing,64 Cwmfelin Road,,Llanelli,SA14 9LR,Carmarthenshire,01554756393,brynhelyg.manager@gmail.com,26,Ovalbeech Limited,1,01909329,1,Shanavas Rahim,,English,2018-06-20,SIN-00008894-WNNL,51.673377,-4.102349
Bwthyn Talbot,Care Home Service,Adults Without Nursing,Talbot Cottage,Tramway Lane,Llanelli,SA15 4AJ,Carmarthenshire,01554700758,Lee.bates@carewithoutcompromise.org.uk,7,Care Without Compromise Limited,6,06511464,3,Lee Bates,,English,2018-12-31,SIN-00016004-FWXK,51.687787,-4.210414
Caemaen Residential Care Home,Care Home Service,Adults Without Nursing,Caemaen Care Home,Coleshill Terrace,Llanelli,SA15 3DE,Carmarthenshire,01554 771835,JESzubka@carmarthenshire.gov.uk,30,Carmarthenshire County Council Adults and Children's Services,10,,8,Heike Clarke,,,2018-09-20,SIN-00010036-DYRN,51.68293,-4.167023
Care Cymru - Carmarthenshire,Domiciliary Support Service,,Unit 4 Block A Llys Y Barcud,Clos Gelliwerdd,Llanelli,SA14 6RX,Carmarthenshire,01267 240211,nicola.Jayne@carecymru.com,0,Care Cymru Services Ltd,5,04559246,1,Nicola Jayne,,English,2019-07-18,SIN-00013973-BWPB,51.794162,-4.072215
Carmarthenshire County Council In-house domiciliary care service,Domiciliary Support Service,,Carmarthenshire County Council,3 Spilman Street,Carmarthen,SA31 1LE,Carmarthenshire,01267242472,lynmcnicholl@carmarthenshire.gov.uk,0,Carmarthenshire County Council Adults and Children's Services,10,,12,Lyndsay McNicholl,,,2018-09-20,SIN-00010040-MBJV,51.856074,-4.304249
Cartref Ael Y Bryn,Care Home Service,Adults Without Nursing,Cartref Ael Y Bryn,Penybanc Road,Ammanford,SA18 3HS,Carmarthenshire,01269593773,info@barleybind.co.uk,49,Barleybind Ltd,2,02594246,2,Vijayarany Yoganathan,,English,2018-08-31,SIN-00009138-SBMT,51.787262,-4.002836
Cefn Manor,Care Home Service,Adults Without Nursing,Cefn Manor,,Llanelli,SA15 4RT,Carmarthenshire,01269862146,marion@eraliving.co.uk,12,Era Living Solutions Limited,1,06831843,1,Edgar Thomas,,,2018-12-05,SIN-00008792-KSJH,51.721118,-4.180331
Clynsaer House,Care Home Service,Adults Without Nursing,Clynsaer House,"Cynghordy,","Llandovery,",SA20 0LP,Carmarthenshire,01550 750224,BarnabyCunningham@cygnethealth.co.uk,11,Cygnet Care Services Limited,2,02683377,2,Stephanie Coxon,,English,2025-05-29,SIN-00015470-PHDT,52.057744,-3.714684
Dan Y Graig,Care Home Service,Adults Without Nursing,Danygraig,,Kidwelly,SA17 4SW,Carmarthenshire,01554 891246,danygraig@swantoncare.com,8,SWANTON CARE & COMMUNITY LIMITED,24,05789785,23,Kate Townsley,,English,2025-02-04,SIN-00014807-FKGJ,51.757351,-4.260181
Dol Y Felin,Care Home Service,Adults Without Nursing,Dolyfelin Homes,Pentre Road St. Clears,Carmarthen,SA33 4LR,Carmarthenshire,01994 230039,jtgregory@carmarthenshire.gov.uk,33,Carmarthenshire County Council Adults and Children's Services,10,,5,Heike Clarke,,,2018-09-20,SIN-00010033-QYTY,51.820025,-4.493201
Erwhir Care Home,Care Home Service,Adults Without Nursing,Erwhir Residential Home,29-30,Carmarthen,SA31 1HL,Carmarthenshire,01267236504,manager.erwhir@gmail.com,15,Towy Haven Care Homes Ltd,2,04067635,2,Scott Morris,,,2018-08-01,SIN-00009018-FHVD,51.861987,-4.303999
Erwhir Home Care Services,Domiciliary Support Service,,Erwhir Residential Home,29-30,Carmarthen,SA31 1HL,Carmarthenshire,01267 236504,manager.erwhir@gmail.com,0,Towy Haven Care Homes Ltd,2,04067635,1,Scott Morris,,English,2018-08-01,SIN-00014298-HSSW,51.861987,-4.303999
Fronhaul,Care Home Service,Adults Without Nursing,Fronhaul,Station Road,Carmarthen,SA33 4BQ,Carmarthenshire,01994230986,celine@fronhaul.uk,16,Fronhaul and Brookfield Care Home Ltd,2,06282045,1,Dhanraj Boodeny,,,2018-09-24,SIN-00010140-WFJC,51.821413,-4.49306
G.H. Supported Living Limited,Domiciliary Support Service,,41a,Llethri Road,Llanelli,SA14 8EY,Carmarthenshire,01792465435,tonydaviesghsupp@btopenworld.com,0,G.H. Supported Living Limited,1,08251873,1,Anthony Davies,,English,2019-04-29,SIN-00010179-QGXH,51.702073,-4.132248
Gofal Cymunedol Ltd,Domiciliary Support Service,,Yelverton House,St. John Street,Whitland,SA34 0AW,Carmarthenshire,01267 610237,general@gofalcymunedol.com,0,Gofal Cymunedol Ltd,1,13828556,1,Paul Miller,,English,2025-01-28,SIN-00015255-XKLL,51.818381,-4.613596
Lifestyles (Wales) Ltd 'At Home' Service,Domiciliary Support Service,,The Fishermans Lodge,"Edwinsford, Talley",Carmarthen,SA19 7BX,Carmarthenshire,01558685803,lifestyleswales@hotmail.co.uk,0,Lifestyles (Wales) Ltd,1,05306775,1,Linda Giles,,English,2019-02-15,SIN-00010104-BSWP,51.991193,-3.991445
Llandaff House Care Home,Care Home Service,Adults Without Nursing,6 Mwrwg Road,Llangennech,Llanelli,SA14 8UA,Carmarthenshire,01554821689,llandaffhousemanager@aol.com,21,Cathedral Care Limited,1,02600036,1,John Woolford,,,2018-11-16,SIN-00009093-CGLK,51.697079,-4.086357
Llanfair Grange,Care Home Service,Adults Without Nursing,Llanfair Hill,,Llandovery,SA20 0YF,Carmarthenshire,01550720495,pricemondl@aol.com,34,Parkmore Healthcare Ltd,1,05156076,1,Douglas Leach,,English,2019-04-26,SIN-00009280-VMLJ,52.000492,-3.79447
Llesiant Delta Wellbeing CONNECT,Domiciliary Support Service,,Carmarthenshire County Council,3 Eastgate,Llanelli,SA15 3YF,Carmarthenshire,03003332222,info@deltawellbeing.org.uk,0,Llesiant Delta Wellbeing,1,11148475,1,Samantha Watkins,,English,2021-03-01,SIN-00012330-SYWM,51.682921,-4.157229
Llwynhendy Care Home,Care Home Service,Adults With Nursing,Llwynhendy Care Home,Ynys Las,Swansea,SA14 9BT,Carmarthenshire,01554556074,sheryl.davies@paddacare.com,78,PADDA CARE LTD,2,10589472,1,,,,2018-07-05,SIN-00015520-HVPQ,51.680375,-4.126223
Llys Fechan Care Home,Care Home Service,Adults Without Nursing,Cartref Llys Fechan,48 Carmarthen Road,Llanelli,SA14 6SU,Carmarthenshire,01269 845502,llysfechan123@gmail.com,18,Neuadd fach Limited,1,06056637,1,Catrin James,,English,2019-04-17,SIN-00009178-BHNN,51.798856,-4.090995
Llys Y Bryn,Care Home Service,Adults Without Nursing,Llys Y Bryn,Gelli Road,Llanelli,SA14 9AD,Carmarthenshire,01554 758132,LlysyBrynCareHome@carmarthenshire.gov.uk,45,Carmarthenshire County Council Adults and Children's Services,10,,13,Heike Clarke,,,2018-09-20,SIN-00010041-QTGX,51.685024,-4.117298
Maesllewellyn,Care Home Service,Adults Without Nursing,Maes Llewelyn Residential Home,Church Lane,Newcastle Emlyn,SA38 9AB,Carmarthenshire,01239711990,MaesllewelynCareHome@carmarthenshire.gov.uk,40,Carmarthenshire County Council Adults and Children's Services,10,,6,Heike Clarke,,,2018-09-20,SIN-00010034-BCYC,52.039151,-4.468239
Maesteilo Care Home,Care Home Service,Adults Without Nursing,Maesteilo Care Home,Capel Isaac,Llandeilo,SA19 7TG,Carmarthenshire,01558 668510,Maesteilo@swantoncare.com,18,SWANTON CARE & COMMUNITY LIMITED,24,05789785,20,Kate Townsley,,English,2025-02-04,SIN-00014804-RLWD,51.922545,-4.051755
Mencap Cymru West Wales Domiciliary Support Service,Domiciliary Support Service,,Mencap Cymru,Rm 4 & 5 Ty Myrddin,Carmarthen,SA31 1LP,Carmarthenshire,01443 565655,Hayley.Parker@Mencap.org.uk,0,Royal Mencap Society,5,00550457,3,Wayne Crocker,,English,2019-02-12,SIN-00009418-SWGK,51.856353,-4.302375
Merthyr Community Care,Domiciliary Support Service,,Inspirational Lifestyle Services,Ty R Onnen,Carmarthen,SA31 2NF,Carmarthenshire,01792 885126,referrals@manddcare.co.uk,0,M&D Care Operations Ltd,17,13974689,16,Michelle Martin,,English,2023-09-19,SIN-00016270-WBTP,51.844131,-4.305628
MiHomecare Carmarthen,Domiciliary Support Service,,Unit 1 Mihomecare,Llwyn-yr-eos Parc Menter,Llanelli,SA14 6RA,Carmarthenshire,03331215601,carmarthen@mihomecare.com,0,MiHomecare Limited,2,03203080,2,Nadia Klaaste,,English,2019-04-15,SIN-00010305-TBDY,51.787868,-4.073202
Minstrels,Care Home Service,Adults Without Nursing,Minstrels,Backe Road,Carmarthen,SA33 4EU,Carmarthenshire,01994232985,admin@carninglitrust.org,5,CARNINGLI TRUST (THE),4,01953474,3,Kerry May,,English,2018-07-06,SIN-00008983-XGPY,51.81138,-4.525325
Pant Yr Odyn,Care Home Service,Adults Without Nursing,96 Llandeilo Road,Llandybie,Ammanford,SA18 3JD,Carmarthenshire,01269 851101,pantyrordyn@swantoncare.com,7,SWANTON CARE & COMMUNITY LIMITED,24,05789785,21,Kate Townsley,,English,2025-02-04,SIN-00014805-HKYM,51.827304,-4.009213
Pant-y-Cendy Hall,Care Home Service,Adults Without Nursing,Pantycendy Hall,,Carmarthen,SA33 5RN,Carmarthenshire,01267281738,admin@pant-y-cendy-hall.co.uk,3,Pant-y-Cendy Ltd,1,05035759,1,Penelope Hopkins,,English,2019-03-15,SIN-00009104-BHLB,51.882497,-4.401652
Panteg,Care Home Service,Adults Without Nursing,Panteg,,Carmarthen,SA33 4JR,Carmarthenshire,01994231019,admin@carninglitrust.org,5,CARNINGLI TRUST (THE),4,01953474,1,Kerry May,,English,2018-07-06,SIN-00008981-QBMB,51.830342,-4.507067
People Support Limited,Domiciliary Support Service,,1 Quay Street,,Ammanford,SA18 3DB,Carmarthenshire,03337722633,grant@peoplesuportwales.co.uk,0,People Support Ltd,3,13052271,3,Gregory Harries-Griffiths,,English,2021-05-21,SIN-00014391-XSXC,51.792437,-3.987752
Richmond Support Services Cardiff,Domiciliary Support Service,,Richmond Nursing Agency Ltd,Unit 1-2 Delta Lakes Enterprise Centre,Llanelli,SA15 2DR,Carmarthenshire,01554 756148,alison@richmondsupportservices.co.uk,0,Richmond Support Services Limited,2,02691646,2,Alison Vaughan,,English,2024-06-25,SIN-00015851-WFBK,51.665923,-4.154397
Shaw Support Services – Johnstown,Domiciliary Support Service,,Ty Cwm,Lon Ty Cwm,Carmarthen,SA31 3GA,Carmarthenshire,01267243460,johnstown.manager@shaw.co.uk,0,Shaw healthcare (Cambria) Limited,20,06281153,8,Liam Scanlon,,,2019-04-01,SIN-00014763-WHBW,51.84987,-4.337882
Stradey Park House,Care Home Service,Adults Without Nursing,61 New Road,,Llanelli,SA15 3DP,Carmarthenshire,01554755725,james@stradeyparkcarehomes.co.uk,8,STRADEY PARK CARE HOMES LTD,1,04993151,1,Thomas Williams,,English,2018-09-24,SIN-00009089-MGTB,51.685325,-4.166819
Swanton Community Services Wales West,Domiciliary Support Service,,Scarlett Court,Heol Aur,Llanelli,SA14 8QN,Carmarthenshire,01792 776238,info@swantoncare.com,0,SWANTON CARE & COMMUNITY LIMITED,24,05789785,24,Kate Townsley,,English,2025-02-04,SIN-00014808-KHVW,51.698163,-4.126218
The Haven,Care Home Service,Adults Without Nursing,The Haven,2a,Llanelli,SA15 2RE,Carmarthenshire,01554777726,Thehaven.lester@btconnect.com,28,TL Care Homes Limited Liability Partnership,2,OC305900,2,Andrew Lester,,English,2018-08-02,SIN-00009802-SXRK,51.67604,-4.16707
The Rookery,Care Home Service,Adults Without Nursing,The Rookery,School Hill,Newcastle Emlyn,SA38 9LL,Carmarthenshire,01239711038,AMYD.OFFICE@GMAIL.COM,9,Bramble Bay Ltd,3,05778467,2,AMANDA HILL,,English,2018-08-10,SIN-00008869-KRWJ,52.036154,-4.471792
Tir Einon,Care Home Service,Adults Without Nursing,Llwynhendy,,Llanelli,SA14 9DF,Carmarthenshire,01554 742555,TirEinonRespiteHome@carmarthenshire.gov.uk,8,Carmarthenshire County Council Adults and Children's Services,10,,3,Carol Owen,,,2018-09-20,SIN-00010031-SWYV,51.676812,-4.120372
Ty Cwm,Care Home Service,Adults With Nursing,Ty Cwm,Lon Ty Cwm,Carmarthen,SA31 3GA,Carmarthenshire,01267228070,tycwm.manager@shaw.co.uk,20,Shaw healthcare (Cambria) Limited,20,06281153,19,Liam Scanlon,,,2019-04-01,SIN-00014760-BGYX,51.84987,-4.337882
Y Plas Residential Care Home,Care Home Service,Adults Without Nursing,Y Plas,,Llanelli,SA15 4LP,Carmarthenshire,01554751359,SRJones@carmarthenshire.gov.uk,30,Carmarthenshire County Council Adults and Children's Services,10,,9,Heike Clarke,,,2018-09-20,SIN-00010037-KHGB,51.699695,-4.146304
Brondesbury Lodge,Care Home Service,Adults With Nursing,Brondesbury Lodge,Heol Derw,Cardigan,SA43 1NH,Ceredigion,01239615427,bronlodge@yahoo.co.uk,32,Brondesbury Lodge Limited,1,04998326,1,Jagdip Guram,,English,2018-08-28,SIN-00009335-BXCR,52.091538,-4.647418
Cartref Care Home Ltd,Care Home Service,Adults Without Nursing,Cartref Care Home,Henllan,Llandysul,SA44 5TD,Ceredigion,01559371293,cartrefhome@outlook.com,36,CARTREF CARE HOME LTD,1,04732798,1,Gwyn Williams,,,2019-05-22,SIN-00010077-SSQK,52.038995,-4.396559
Cerecare Ltd,Domiciliary Support Service,,26 Bridge Street,,Lampeter,SA48 7AA,Ceredigion,01570423342,kevin@cerecareltd.co.uk,0,Cerecare nursing and domiciliary services ltd.,1,04319244,1,Kevin Evans,,,2019-08-28,SIN-00010554-MJXQ,52.111906,-4.077205
Cysgod Y Coed Ltd,Care Home Service,Adults Without Nursing,Cysgod Y Coed Residential Home,Llanilar,Aberystwyth,SY23 4NR,Ceredigion,01974241475,cysgodycoed1@yahoo.co.uk,15,Cysgod Y Coed Ltd,1,06536210,1,Nerys Richards,,,2018-07-17,SIN-00008915-CKJC,52.355927,-4.035468
Dolwen Ltd,Domiciliary Support Service,,Neuaddwen,,Llanarth,SA47 0NH,Ceredigion,01545580868,smitchelldolwen@gmail.com,0,Dolwen Ltd,1,08527551,1,Susan Mitchell,,English,2019-05-17,SIN-00010410-FLVP,52.19601,-4.308374
Maes-y-felin Care Home LTD,Care Home Service,Adults Without Nursing,Maesyfelin Care Home,Drefach,Llanybydder,SA40 9YB,Ceredigion,01570480766,care@maesyfelin.co.uk,19,MAESYFELIN CARE HOME LTD,1,05490990,1,Lauren Samuel-Wrightson,,,2018-06-07,SIN-00008566-FFDG,52.090736,-4.190613
Pennal View Residential Care Home Ltd,Care Home Service,Adults Without Nursing,Pennal View Residential Home,Blaenpennal,Aberystwyth,SY23 4TR,Ceredigion,01974251279,contact@pennalview.co.uk,16,Pennal View Residential Care Home Ltd,1,09581601,1,Dylan Williams,,,2022-08-05,SIN-00013102-QWSH,52.262902,-4.015862
Plas Cwmcynfelin Ltd,Care Home Service,Adults With Nursing,Plas Cwmcynfelin,Clarach,Aberystwyth,SY23 3DN,Ceredigion,01970623783,plascwmcynfelin@lycos.com,53,Plas Cwmcynfelin Limited,1,05134027,1,Hannah Lennon,,,2018-11-14,SIN-00009154-HBCT,52.431333,-4.055122
Plas Gwyn Care Home,Care Home Service,Adults Without Nursing,Plas Gwyn,,Llanrhystud,SY23 5BY,Ceredigion,01974202206,plas_gwyn@outlook.com,16,Tilmala Healthcare Ltd,1,05294079,1,David Lewis,,English,2019-05-23,SIN-00009322-PCRH,52.292962,-4.161233
Bluestones Medical Complex Care Limited,Domiciliary Support Service,,Bluestones Medical Complex Care,Holden House,Chester,CH4 9QU,Cheshire West and Chester,01244445072,complexcareteam@bluestonesmedicalcomplexcare.co.uk,0,Bluestones Medical Complex Care Limited,2,11207881,7,Patricia Stratford,,,2022-06-16,SIN-00013003-MFGQ,53.160065,-2.900577
20 Francis Avenue,Care Home Service,Adults Without Nursing,20 Francis Avenue,Rhos On Sea,Colwyn Bay,LL28 4DW,Conwy,01492545370,manager20francis@randomlightuk.com,5,Coed Du Hall Ltd,8,02873799,3,Esther Jones,,English,2019-01-09,SIN-00011220-TVRN,53.302856,-3.74144
79 Brompton Avenue,Care Home Service,Adults Without Nursing,79 Brompton Avenue,Rhos On Sea,Colwyn Bay,LL28 4TP,Conwy,01492 540778,ryecroft@coeddu.com,3,Coed Du Hall Ltd,8,02873799,2,Esther Jones,,English,2019-01-09,SIN-00014860-TLHP,53.30597,-3.748005
Abbey Dale House,Care Home Service,Adults With Nursing,Abbey Dale House,61 Princes Drive,Colwyn Bay,LL29 8PW,Conwy,07595308249,embracecarehomesltd@gmail.com,29,ECH COLWYN BAY LIMITED,1,13735523,1,Littish Dominic,,English,2023-10-05,SIN-00013958-BSLD,53.29896,-3.735549
Aingarth Rest Home Ltd,Care Home Service,Adults Without Nursing,Ain Garth Private Residential Home,50 Brompton Avenue Rhos On Sea,Colwyn Bay,LL28 4TP,Conwy,01492540692,aingarth-manager@outlook.com,19,AINGARTH REST HOME LTD,1,08667052,1,Sharon Jack,,English,2019-01-07,SIN-00010136-LTPN,53.30597,-3.748005
AKC Home Support Services,Domiciliary Support Service,,43 Conway Road,,Colwyn Bay,LL29 7AA,Conwy,01492534662,sharron.jones@akc.uk.com,0,AKC Home Support Services,1,,1,Sharron Jones,,English,2019-02-25,SIN-00010483-CGVX,53.295264,-3.728797
BLISSCARE AND HOME UK LTD,Domiciliary Support Service,,Unit 2 Uxbridge House,2 Sea View Road,Colwyn Bay,LL29 8DG,Conwy,07587809866,justiceujoumunna@gmail.com,0,BLISSCARE AND HOMES UK LTD,1,15476167,1,Justice Chinonso UJOUMUNNA,,,2025-11-05,SIN-00015573-JBRF,53.295299,-3.725122
Brigadoon Care Home,Care Home Service,Adults Without Nursing,Brigadoon Residential Home,24-26,Llandudno,LL30 2EZ,Conwy,01492877310,brigadooncarehome@gmail.com,11,Shaivaa Care Limited,1,13507949,1,Ranjeeta Dussoye-Sookha,,English,2022-07-11,SIN-00013132-XCCL,53.316824,-3.838614
Bryn Eithin Residential Care Ltd,Care Home Service,Adults Without Nursing,30 Llanrwst Road,,Colwyn Bay,LL29 7YU,Conwy,01492531162,manager@bryneithin.com,25,Bryn Eithin Residential Care Ltd,1,04597173,1,Mark Thomas,,,2018-11-22,SIN-00010194-FKSW,53.297854,-3.749099
Bryn Hardd Ltd T/A Moncare,Domiciliary Support Service,,Brady & Jones,24 Wynnstay Road,Colwyn Bay,LL29 8NB,Conwy,01492202300,munyar@moncare.co.uk,0,BRYN HARDD LTD,1,09332259,1,Munyaradzi Chiunye,,English,2024-12-18,SIN-00014585-VMMB,53.296801,-3.729429
Bryn Marl Nursing Home,Care Home Service,Adults With Nursing,Bryn Marl Nursing Home,Marl Drive,Llandudno Junction,LL31 9YX,Conwy,01492581191,kevin.jones@brynmarl.co.uk,39,Bryn Marl Ltd,1,05148789,1,PARTHEEPAN SHANMUGARAJAH,,English,2018-12-27,SIN-00009074-HRVX,53.287145,-3.80291
Caring Hands Homecare Agency Ltd,Domiciliary Support Service,,Unit 5 Conwy Business Centre,Junction Way,Llandudno Junction,LL31 9XX,Conwy,07823885709,caringhands23@outlook.com,0,Caring Hands Homecare Agency LTD,1,09072216,1,Rebecca Evans,,English,2019-08-14,SIN-00010293-YQFP,53.283006,-3.807296
Cartref Bryn yr Eglwys,Care Home Service,Adults With Nursing,Pentrefoelas,,Betws-y-coed,LL24 0HY,Conwy,01690770384,nantyfoel2021@gmail.com,30,NANT-Y-FOEL CYFYNGEDIG,1,02205272,1,Meryl Welsby,,,2018-12-21,SIN-00009263-RQWF,53.049288,-3.682889
Conner's Place,Care Home Service,Adults Without Nursing,60 Church Road,Rhos On Sea,Colwyn Bay,LL28 4YS,Conwy,07920518739,david@connersplace.co.uk,2,Conner's Place Ltd.,2,11870206,2,Rachel Jones,,English,2021-01-04,SIN-00013832-TNTT,53.310214,-3.751631
Conner's Place Ltd.,Care Home Service,Adults Without Nursing,Oakdene Residential Home,47 Mostyn Avenue,Llandudno,LL30 1YY,Conwy,01492460561,djkenwo@gmail.com,6,Conner's Place Ltd.,2,11870206,1,Rachel Jones,,English,2021-01-04,SIN-00011923-BHXH,53.320568,-3.809558
Conwy County Borough Council Domiciliary Care,Domiciliary Support Service,,Conwy County Borough Council,Coed Pella,Colwyn Bay,LL29 7AZ,Conwy,01492577744,sc.commissioning@conwy.gov.uk,0,Conwy County Borough Council Adults and Children's Services,3,,8,Annette Dean,,,2018-11-29,SIN-00010025-VVRL,53.295546,-3.730444
Delight Care Services Ltd,Domiciliary Support Service,,Plas Eirias Business Centre,Abergele Road,Colwyn Bay,LL29 8BF,Conwy,07939239075,info@delightcareservices.co.uk,0,Delight Care Services LTD,1,10521695,1,Marvel Harrison,,English,2025-01-29,SIN-00015012-VXWR,53.288355,-3.716651
Eithinog Nursing Home,Care Home Service,Adults With Nursing,Eithiniog Leonard Cheshire Home,Old Highway,Colwyn Bay,LL28 5YA,Conwy,07795117535,nia.golding14@gmail.com,42,Grosvenor Care Ltd,1,16182983,1,Nia Golding,,,2025-09-26,SIN-00015540-MNKW,53.292174,-3.748327
Glascoed Ltd,Care Home Service,Adults Without Nursing,149 Conway Road,,Colwyn Bay,LL29 7NA,Conwy,01492533737,,10,Glascoed Residential Care Home Limited,1,08548069,1,Paul Bowe,,English,2019-05-23,SIN-00011038-TJKW,53.299361,-3.744989
High Pastures Nursing Home,Care Home Service,Adults With Nursing,High Pastures Nursing Home,Pentywyn Road Deganwy,Conwy,LL31 9YT,Conwy,01492581402,sarah.zahid@highpastures.co.uk,44,High Pastures Nursing Home limited,1,03518795,1,Sarah Zahid,,English,2018-12-17,SIN-00009967-RMRC,53.295781,-3.817363
Inspired Homes Network Ltd.,Domiciliary Support Service,,7 The Reserve Llanrwst Road,Glan Conwy,Colwyn Bay,LL28 5SX,Conwy,07495487432,keenan.rothwell@yahoo.com,0,Inspired Homes Network Ltd.,4,08227565,3,Keenan Rothwell,,English,2018-11-06,SIN-00010302-QDJD,53.272103,-3.796458
Llannerch Grange,Care Home Service,Adults Without Nursing,17 Llannerch Road East,Rhos On Sea,Colwyn Bay,LL28 4DF,Conwy,01492540744,17llannerch@coeddu.com,5,Coed Du Hall Ltd,8,02873799,1,Esther Jones,,English,2019-01-09,SIN-00012551-FTRM,53.301482,-3.738863
Llys Elian,Care Home Service,Adults Without Nursing,Llys Elian,Groes Road,Colwyn Bay,LL29 8RA,Conwy,01492577773,meinir.roberts@conwy.gov.uk,27,Conwy County Borough Council Adults and Children's Services,3,,6,Annette Dean,,,2018-11-29,SIN-00010022-HTNL,53.286163,-3.715303
Marine Court Psychiatric Unit Limited,Care Home Service,Adults With Nursing,4 Marine Road,,Colwyn Bay,LL29 8PH,Conwy,01492534528,Marinecourt21@gmail.com,23,MARINE COURT PSYCHIATRIC UNIT LIMITED,1,04107772,1,,,English,2018-06-21,SIN-00008738-CXSM,53.297976,-3.732733
Merton Place,Care Home Service,Adults With Nursing,Merton Place Nursing Home,8 Pwllycrochan Avenue,Colwyn Bay,LL29 7BU,Conwy,01492 523375,Merton.Place@fairways.org.uk,54,Fairways Care Ltd,6,03538836,3,Paul Nicholls,,,2018-12-27,SIN-00015821-RWTP,53.296346,-3.734167
Moorcroft Residential Care Home,Care Home Service,Adults Without Nursing,Moorcroft Residential Home,Fferm Bach Road,Llandudno,LL30 1UA,Conwy,01492 877050,moorcroftcare@gmail.com,24,Moorcroft Residential Care Home Limited,1,14432245,1,Marcus Wilkes,,English,2023-03-01,SIN-00013536-LDKG,53.315588,-3.809542
New Cranford EMI Care Home,Care Home Service,Adults Without Nursing,The New Cranford,13 Carmen Sylva Road,Llandudno,LL30 1LZ,Conwy,01492877828,newcranford@outlook.com,22,TC60 LIMITED,1,04580630,1,Amanda Weston,,English,2018-08-22,SIN-00009001-BCCY,53.321793,-3.808213
Orme View Dementia Care,Care Home Service,Adults Without Nursing,Abbey Nursing Home,81 Abbey Road,Llandudno,LL30 2EH,Conwy,01492875993,manager@oremview.co.uk,16,Orme View Care Home Limited,2,12334274,1,Steffan Robbins,,,2020-05-20,SIN-00015405-XLVM,53.32287,-3.84009
Plas Isaf Care Home,Care Home Service,Adults Without Nursing,30-32 Llannerch Road West,Rhos On Sea,Colwyn Bay,LL28 4AS,Conwy,01492556777,manager.plasisaf@rosewoodhealthcaregroup.co.uk,32,Elmtree Healthcare Limited,2,08889148,2,James Bradford,,,2018-11-14,SIN-00009753-DFCS,53.300609,-3.746961
Plas Y Bryn,Care Home Service,Adults With Nursing,Plas Y Bryn Nursing Home,31 Tan Y Bryn Road,Colwyn Bay,LL28 4AD,Conwy,01492544117,james.bradford@rosewoodhealthcaregroup.co.uk,18,Elmtree Healthcare Limited,2,08889148,1,James Bradford,,,2018-11-14,SIN-00009752-DXPG,53.30256,-3.750027
Rhoslan Care Home,Care Home Service,Adults Without Nursing,Rhoslan Residential Care Home,52-56,Colwyn Bay,LL28 4HA,Conwy,01492548159,james.bradford@rosewoodhealthcaregroup.co.uk,34,Oaktree Healthcare Limited,1,08051171,1,James Bradford,,,2019-02-21,SIN-00009436-NPLJ,53.306475,-3.741121
Southern House Nursing Home,Care Home Service,Adults With Nursing,Southern House Nursing Home,18 Water Street,Abergele,LL22 7SH,Conwy,01745833600,manager@southernhouse.co.uk,35,Chestnut House Healthcare Limited,2,07590634,2,Moira Jones,,English,2019-02-13,SIN-00009130-PQDD,53.284899,-3.581802
Tan y Bryn Care Home,Care Home Service,Adults Without Nursing,Tan Y Bryn Residential Home,20 Tan Y Bryn Road,Llandudno,LL30 1UU,Conwy,01492875162,tyb.1@talktalk.net,26,Eterna Care Ltd,1,10686067,1,Bhusan Ramnath,,English,2018-10-08,SIN-00009270-HMTK,53.317593,-3.804778
Treflys Care Home,Care Home Service,Adults With Nursing,Treflys Nursing Home,Gloddaeth Avenue,Llandudno,LL30 2DN,Conwy,01492877893,treflyscarehome@aol.com,29,Bhusan Ramnath,2,,2,Bhusan Ramnath,,English,,SIN-00009447-GTRT,53.323015,-3.83828
Walls Residential Care Home Ltd,Care Home Service,Adults Without Nursing,Walls Residential Care Home Ltd,30 Vaughan Street,Llandudno,LL30 1AB,Conwy,01492876309,wallscarehome@gmail.com,10,Walls Residential Care Home Ltd,1,07813519,1,Deborah Walls,,English,2019-05-09,SIN-00010220-DTGC,53.321033,-3.825658
Willowvale Care Limited,Domiciliary Support Service,,Unit 3,Conwy Business Centre,Llandudno Junction,LL31 9XX,Conwy,01933 322273,admin@willowvalecare.co.uk,0,Willowvale Care Limited,1,13163490,1,Bernadette Gunda,,,2025-09-12,SIN-00015760-DZMH,53.283006,-3.807296
Wimsly Care Home,Care Home Service,Adults Without Nursing,9 St. Davids Road,,Llandudno,LL30 2UL,Conwy,01492877761,wimslycarehome@hotmail.co.uk,19,Bhusan Ramnath,2,,1,Bhusan Ramnath,,English,,SIN-00008980-GMKV,53.321262,-3.83355
